Feature,Gain,Cover,Frequency
gap_ball_last,0.2955629054221091,0.10317869855163775,0.05792980897378943
def_ball_last,0.06278357112321603,0.041103313220047864,0.0370501999111506
def_ball_min,0.04307229636788412,0.039080473145343055,0.029498000888494004
gap_ball_mean,0.03738943447803766,0.06055534850002582,0.04095957352287872
gap_ball_slope,0.03704660364739652,0.04794873927924226,0.04975566414926699
tr_ball_mean,0.03399149994840473,0.04373630597319103,0.037760995113282986
sep_pre_mean,0.031823019810574504,0.05515534437537564,0.045135495335406485
tr_ball_min,0.03082586626968586,0.03180724839315042,0.03651710350955131
def_s_pre_mean,0.029837932129381267,0.049101322188203074,0.04815637494446912
sep_pre_last,0.029487772517946317,0.04102887844569794,0.03838294091514882
tr_ball_slope,0.02849464793690733,0.04389589098276451,0.041226121723678365
tr_s_pre_mean,0.02709352573554754,0.04246859159439764,0.04300310972900933
tr_ball_last,0.026337210046924926,0.03947022184331457,0.0370501999111506
sep_pre_slope,0.0262320948583647,0.03044446600436949,0.045579742336739226
gap_ball_min,0.025497148548434247,0.030773982049118097,0.037405597512216796
def_ball_mean,0.02484075293367012,0.02768222053166956,0.033762772101288314
absolute_yardline_number,0.024129503638168636,0.029355925894496253,0.038116392714349176
sep_pre_min,0.02409631613304972,0.030235485109550958,0.03491781430475344
def_s_pre_max,0.021361330120395795,0.037884043232162476,0.03669480231008441
def_ball_slope,0.020987412732956418,0.0307877191596789,0.035450910706352735
tr_s_pre_max,0.019281105002427783,0.0213068907471346,0.03269657929808974
n_frames_pre,0.017960914882595574,0.019355195451074086,0.02763216348289649
week,0.016441951448092424,0.018153350829877436,0.026832518880497556
n_frames_post,0.014560839675919555,0.015238274028732698,0.01928031985784096
yards_to_go,0.01445371584989368,0.01937395945451471,0.02461128387383385
down,0.0044102159500730865,0.0056253601000499035,0.008529542425588628
receiver_alignment3x1,0.0033411367706038457,0.006718038895861766,0.0041759218125277655
receiver_alignment2x2,0.0031719058507702082,0.00313018025850232,0.004620168813860507
route_of_targeted_receiverOUT,0.0028742585545567367,0.0018885910187925888,0.003998223011994669
route_of_targeted_receiverHITCH,0.002061876874917177,0.0016023393365661531,0.0029320302087960906
team_coverage_typeCOVER_3_ZONE,0.0018221277649191037,0.0017528410172138235,0.0036428254109284763
route_of_targeted_receiverIN,0.0016683183082107104,0.0032105312814147834,0.0033762772101288314
route_of_targeted_receiverCROSS,0.0015340650229883556,0.0021463428834707517,0.002132385606397157
route_of_targeted_receiverFLAT,0.0013470376803733166,0.0038776767025005747,0.0023100844069302534
team_coverage_typeCOVER_4_ZONE,0.00117711128880519,0.001931556938268559,0.0023100844069302534
route_of_targeted_receiverGO,0.0011293404943609599,0.0013891996528324416,0.0023100844069302534
route_of_targeted_receiverCORNER,0.0010636553324906573,0.001848091217606016,0.001776988005330964
team_coverage_typeCOVER_2_MAN,0.0010353931665208985,0.0022457717460063727,0.001776988005330964
team_coverage_typeCOVER_1_MAN,0.0010338463024225873,6.087498352973899e-4,0.002132385606397157
team_coverage_typeCOVER_2_ZONE,9.1080608394829e-4,9.603367656925504e-4,0.0019546868058640606
offense_formationEMPTY,9.050498740731758e-4,3.2984205759122487e-4,0.001776988005330964
team_coverage_typeCOVER_6_ZONE,9.020516700841257e-4,0.0016772670359011643,0.0018658374055975121
offense_formationSHOTGUN,8.756160029151207e-4,2.5317866726060875e-4,0.002132385606397157
route_of_targeted_receiverSLANT,8.386509097527105e-4,0.001396979045261931,0.001243891603731675
route_of_targeted_receiverPOST,7.519109125862827e-4,5.424626250332563e-4,0.0016881386050644157
receiver_alignment3x2,7.117587579418697e-4,8.59703160490633e-4,0.0016881386050644157
offense_formationSINGLEBACK,6.234633520805818e-4,4.860762455957356e-4,0.0016881386050644157
receiver_alignment2x1,5.844150935826218e-4,0.001723500435749019,0.0013327410039982231
offense_formationPISTOL,5.064549980085255e-4,0.0018022943395347454,8.88494002665482e-4
def_beats_tr_last,3.327892499891559e-4,1.130140376714871e-4,4.44247001332741e-4
route_of_targeted_receiverWHEEL,2.8768440618355485e-4,0.00126722535952946,6.219458018658375e-4
offense_formationI_FORM,2.634338735204535e-4,1.079479511670204e-4,6.219458018658375e-4
route_of_targeted_receiverSCREEN,1.3143602401983893e-4,0.0011337481430427258,3.5539760106619283e-4
receiver_alignment4x1,6.287828472609275e-5,2.4818683971560273e-4,1.7769880053309641e-4
receiver_alignment4x0,5.1939886590175744e-5,1.0774216085509861e-6,8.884940026654821e-5
